type,source,status,age_rating,year,episodes,mal_score,mal_scored_by,anilist_score,score_gap_mal_anilist,num_platforms,Action,Adventure,Avant Garde,Boys Love,Comedy,Drama,Fantasy,Girls Love,Gourmet,Horror,Josei,Kids,Mystery,Romance,Sci-Fi,Seinen,Shoujo,Shounen,Slice of Life,Sports,Supernatural,Suspense
TV,original,finished_airing,r+,2004.0,12,6.71,29726,6.2,-0.51,1,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,visual_novel,finished_airing,r+,2003.0,14,7.16,71377,6.7,-0.46,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,visual_novel,finished_airing,pg_13,2004.0,12,6.63,3061,6.2,-0.43,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2005.0,12,6.7,72704,5.8,-0.9,0,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
TV,original,finished_airing,r,2005.0,50,7.6,165884,7.3,-0.3,1,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
TV,original,finished_airing,r,2005.0,24,7.29,13414,6.9,-0.39,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,novel,finished_airing,pg_13,2002.0,45,8.01,49931,7.7,-0.31,5,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2001.0,64,7.73,204039,7.4,-0.33,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
MOVIE,manga,finished_airing,r+,1996.0,1,6.57,20056,6.1,-0.47,0,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
TV,manga,finished_airing,r+,2001.0,24,7.39,37029,6.9,-0.49,1,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
TV,manga,finished_airing,pg_13,2005.0,26,6.92,66497,6.5,-0.42,1,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
TV,light_novel,finished_airing,pg_13,2004.0,13,7.29,23440,6.9,-0.39,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TV,manga,finished_airing,pg_13,2004.0,24,6.31,6516,5.9,-0.41,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
TV,original,finished_airing,r,1999.0,13,7.58,46164,7.3,-0.28,0,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,r,2003.0,24,7.3,24328,6.8,-0.5,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,manga,finished_airing,g,2002.0,26,6.96,11226,6.5,-0.46,2,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
TV,game,finished_airing,pg,1999.0,26,6.56,4129,6.1,-0.46,0,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MOVIE,original,finished_airing,pg_13,1997.0,1,8.67,897684,8.5,-0.17,2,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2002.0,26,7.38,45411,7.1,-0.28,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True
TV,other,finished_airing,pg_13,2004.0,26,7.44,65289,7.0,-0.44,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,light_novel,finished_airing,pg_13,2003.0,24,7.37,39866,7.1,-0.27,1,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2001.0,26,7.36,40158,7.0,-0.36,1,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,visual_novel,finished_airing,r,2003.0,12,6.78,75332,6.0,-0.78,1,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
TV,manga,finished_airing,pg_13,1993.0,101,8.56,153031,8.3,-0.26,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
TV,original,finished_airing,pg_13,2000.0,13,6.36,2011,6.1,-0.26,0,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2004.0,25,7.21,14796,6.7,-0.51,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
TV,manga,finished_airing,r,2004.0,24,6.86,94217,6.4,-0.46,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
TV,manga,finished_airing,pg_13,2002.0,26,6.6,12245,6.1,-0.5,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,2005.0,26,7.51,100321,7.1,-0.41,0,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
TV,manga,finished_airing,g,2003.0,26,7.19,14714,6.9,-0.29,3,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,original,finished_airing,pg_13,2000.0,13,7.16,45557,6.7,-0.46,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2001.0,13,7.39,33089,7.0,-0.39,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,1996.0,26,7.66,70578,7.3,-0.36,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,manga,finished_airing,g,2002.0,39,7.4,7275,6.8,-0.6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
TV,game,finished_airing,pg_13,2005.0,12,6.34,8887,5.8,-0.54,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,1998.0,26,8.37,222014,8.2,-0.17,4,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,1999.0,13,8.2,155192,8.1,-0.1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
MOVIE,manga,finished_airing,pg_13,2001.0,1,7.92,129450,7.8,-0.12,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2000.0,24,7.09,140756,6.6,-0.49,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
TV,light_novel,finished_airing,r+,2003.0,24,6.73,50182,6.1,-0.63,1,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2002.0,12,7.09,99582,6.6,-0.49,3,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,2003.0,12,6.81,51644,6.4,-0.41,3,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,r+,2002.0,24,6.51,11188,5.9,-0.61,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,r+,2005.0,24,7.3,43692,6.8,-0.5,2,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
MOVIE,original,finished_airing,pg,2001.0,1,8.77,1427089,8.6,-0.17,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,2002.0,50,7.43,10540,6.9,-0.53,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
TV,original,finished_airing,pg_13,2003.0,26,7.79,139369,7.4,-0.39,1,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
